        t / s      omega / (rad/s)
        0.140              0.22389
        0.362              0.38733
        0.507              0.48741
        0.626              0.57742
        0.729              0.64409
        0.823              0.69562
        0.910              0.76487
        0.988              0.83212
        1.062              0.88196
        1.132              0.91028
        1.199              0.95959
        1.262              1.03374
        1.322              1.06388
        1.380              1.10637
        1.436              1.12699
        1.491              1.19550
        1.542              1.26841
        1.593              1.19808
        1.643              1.31255
        1.690              1.36452
        1.736              1.35387
        1.781              1.44887
        1.824              1.43242
        1.868              1.42634
        1.911              1.48817
        1.954              1.49145
        1.995              1.58486
        2.035              1.55482
        2.075              1.57825
        2.114              1.59443
        2.153              1.66191
        2.191              1.67516
        2.228              1.72795
        2.264              1.70558
        2.300              1.75185
        2.336              1.78353
        2.371              1.81422
        2.406              1.78181
        2.440              1.88334
        2.475              1.77632
        2.508              1.94267
        2.541              1.87072
        2.575              1.91467
        2.607              1.95045
        2.638              2.07743
        2.670              1.92346
        2.702              1.99403
        2.733              2.01824
        2.764              2.02514
        2.795              2.03274
        2.826              2.08197
        2.856              2.10810
        2.885              2.17126
        2.914              2.16021
        2.943              2.16251
        2.973              2.12134
        3.002              2.17667
        3.031              2.20100
        3.059              2.21739
        3.087              2.25268
        3.115              2.26969
        3.142              2.30686
        3.169              2.33307
        3.196              2.32426
        3.224              2.29364
        3.251              2.32892
        3.277              2.40403
        3.304              2.39013
        3.330              2.38968
        3.356              2.44472
        3.381              2.47019
        3.407              2.44930
        3.433              2.46216
        3.458              2.49491
        3.483              2.50846
        3.508              2.46438
        3.533              2.59915
        3.557              2.57952
        3.582              2.44882
        3.607              2.76817
        3.630              2.63656
        3.654              2.58557
        3.678              2.63468
        3.701              2.73158
        3.725              2.67997
        3.749              2.56039
        3.772              2.82111
        3.795              2.70477
        3.818              2.75687
        3.840              2.82010
        3.863              2.78807
        3.886              2.70629
        3.908              2.86159
        3.931              2.75313
        3.953              2.84153
        3.974              3.10158
        3.996              2.80399
        4.018              2.68983
        4.041              2.86354
        4.063              2.93415
        4.084              2.89175
        4.106              2.95207
        4.127              2.95916
        4.148              3.01020
        4.169              2.99971
        4.190              2.94612
        4.211              2.98716
        4.232              3.05202
        4.253              3.04433
        4.274              2.99000
        4.295              3.01381
        4.315              3.11311
        4.335              3.10005
        4.356              3.10787
        4.376              3.07141
        4.396              3.17028
        4.416              3.26875
        4.436              3.02280
        4.456              3.22977
        4.475              3.28722
        4.494              3.20244
        4.513              3.35712
        4.532              3.26824
        4.552              3.19609
        4.571              3.28275
        4.591              3.24210
        4.610              3.39009
        4.628              3.28292
        4.647              3.29083
        4.667              3.27778
        4.685              3.37806
        4.704              3.36629
        4.723              3.43362
        4.741              3.35658
        4.760              3.41385
        4.778              3.44284
        4.796              3.46888
        4.815              3.37751
        4.833              3.54322
        4.851              3.31462
        4.869              3.59471
        4.887              3.43719
        4.905              3.49260
        4.923              3.53028
        4.940              3.73421
        4.958              3.43268
        4.976              3.53723
        4.994              3.55042
        5.012              3.54422
        5.029              3.53226
        5.047              3.59306
        5.064              3.61893
        5.082              3.70405
        5.099              3.65940
        5.116              3.65026
        5.133              3.56149
        5.151              3.63001
        5.168              3.64941
        5.185              3.66837
        5.202              3.69512
        5.219              3.70755
        5.236              3.75542
        5.253              3.76803
        5.269              3.74088
        5.286              3.67911
        5.303              3.70777
        5.320              3.81980
        5.337              3.78004
        5.353              3.75766
        5.370              3.83004
        5.386              3.86087
        5.403              3.80108
        5.419              3.81099
        5.436              3.84858
        5.452              3.84763
        5.468              3.76577
        5.485              3.95991
        5.501              3.91354
        5.517              3.70274
        5.533              4.16961
        5.549              3.95941
        5.565              3.86800
        5.581              3.93117
        5.596              4.05628
        5.612              3.96791
        5.628              3.77845
        5.644              4.14896
        5.660              3.96566
        5.675              4.02923
        5.691              4.11149
        5.706              4.05001
        5.722              3.91891
        5.738              4.13503
        5.753              3.96566
        5.769              4.07893
        5.784              4.43947
        5.799              4.00637
        5.815              3.82794
        5.831              4.06416
        5.846              4.15170
        5.861              4.08476
        5.876              4.16050
        5.891              4.15857
        5.906              4.22059
        5.921              4.19634
        5.936              4.10639
        5.952              4.15720
        5.967              4.22712
        5.982              4.22285
        5.997              4.12310
        6.012              4.14458
        6.027              4.28799
        6.041              4.24511
        6.056              4.25085
        6.071              4.19214
        6.086              4.31923
        6.100              4.44230
        6.115              4.09408
        6.130              4.37792
        6.144              4.44073
