        t / s      omega / (rad/s)
        0.144              0.21859
        0.399              0.28172
        0.601              0.34810
        0.774              0.37872
        0.933              0.41518
        1.078              0.44746
        1.212              0.49230
        1.337              0.52011
        1.453              0.55837
        1.565              0.57193
        1.671              0.60679
        1.772              0.63560
        1.869              0.66291
        1.964              0.66781
        2.054              0.72105
        2.143              0.69300
        2.229              0.77070
        2.312              0.75415
        2.394              0.78210
        2.473              0.80593
        2.548              0.86777
        2.623              0.81086
        2.699              0.84810
        2.772              0.86567
        2.844              0.87500
        2.916              0.88476
        2.985              0.91278
        3.054              0.93083
        3.120              0.96420
        3.185              0.96334
        3.250              0.96939
        3.315              0.95515
        3.380              0.98470
        3.444              0.99906
        3.506              1.01156
        3.568              1.03113
        3.628              1.04140
        3.688              1.06536
        3.746              1.08105
        3.805              1.08154
        3.863              1.07123
        3.921              1.09032
        3.978              1.13192
        4.033              1.12755
        4.089              1.13284
        4.144              1.16250
        4.197              1.18023
        4.251              1.17351
        4.304              1.18368
        4.357              1.20504
        4.409              1.21553
        4.461              1.19821
        4.512              1.26833
        4.561              1.26308
        4.612              1.20377
        4.661              1.36440
        4.708              1.30541
        4.757              1.28404
        4.805              1.31357
        4.852              1.36600
        4.899              1.34498
        4.946              1.28918
        4.993              1.42473
        5.038              1.37074
        5.083              1.40022
        5.127              1.43678
        5.171              1.42463
        5.216              1.38601
        5.260              1.47092
        5.304              1.41791
        5.347              1.46690
        5.388              1.60416
        5.429              1.45491
        5.473              1.39766
        5.517              1.49344
        5.558              1.53293
        5.600              1.51406
        5.641              1.54999
        5.681              1.55825
        5.721              1.59068
        5.761              1.58534
        5.801              1.55887
        5.840              1.58706
        5.880              1.61954
        5.918              1.62432
        5.957              1.59411
        5.997              1.60802
        6.035              1.66605
        6.073              1.65862
        6.111              1.66716
        6.149              1.64654
        6.186              1.69724
        6.223              1.75699
        6.260              1.62297
        6.297              1.73862
        6.333              1.76971
        6.369              1.72199
        6.405              1.81328
        6.440              1.76271
        6.476              1.72724
        6.512              1.77526
        6.547              1.75278
        6.582              1.83617
        6.617              1.77853
        6.652              1.77979
        6.688              1.77632
        6.723              1.82975
        6.757              1.82391
        6.791              1.86036
        6.825              1.81826
        6.860              1.85023
        6.893              1.86522
        6.927              1.87838
        6.961              1.83023
        6.994              1.91935
        7.028              1.79494
        7.062              1.94719
        7.095              1.86174
        7.128              1.89076
        7.161              1.91158
        7.193              2.02416
        7.226              1.86069
        7.259              1.91748
        7.292              1.92753
        7.324              1.92182
        7.357              1.91818
        7.390              1.95166
        7.422              1.96565
        7.453              2.01358
        7.485              1.99182
        7.516              1.98370
        7.548              1.93555
        7.580              1.97560
        7.612              1.98747
        7.644              1.99473
        7.675              2.01546
        7.706              2.01843
        7.737              2.04424
        7.768              2.05736
        7.798              2.04145
        7.829              2.00593
        7.861              2.02677
        7.891              2.08598
        7.921              2.06304
        7.952              2.05871
        7.982              2.09537
        8.012              2.11121
        8.042              2.08501
        8.072              2.08841
        8.102              2.11043
        8.132              2.11334
        8.162              2.06936
        8.191              2.17599
        8.221              2.15251
        8.251              2.03953
        8.280              2.29565
        8.308              2.18409
        8.337              2.13373
        8.366              2.16946
        8.394              2.24151
        8.423              2.19538
        8.452              2.09042
        8.481              2.29640
        8.509              2.19746
        8.537              2.23291
        8.565              2.28057
        8.593              2.24817
        8.621              2.17743
        8.649              2.29850
        8.677              2.20501
        8.705              2.27092
        8.732              2.47117
        8.759              2.23148
        8.787              2.13416
        8.816              2.26772
        8.843              2.31886
        8.871              2.27932
        8.898              2.32323
        8.925              2.32538
        8.952              2.36414
        8.979              2.34640
        9.006              2.30002
        9.033              2.33238
        9.059              2.37083
        9.086              2.36985
        9.113              2.31792
        9.140              2.33168
        9.166              2.40800
        9.193              2.38723
        9.219              2.40312
        9.245              2.36041
        9.271              2.43563
        9.297              2.50486
        9.323              2.31519
        9.349              2.46796
        9.374              2.51297
        9.400              2.43544
        9.425              2.55976
        9.450              2.48171
        9.476              2.42753
        9.501              2.48809
        9.527              2.45169
        9.552              2.56540
        9.577              2.47838
        9.602              2.47701
        9.627              2.46796
        9.652              2.53825
        9.677              2.52469
        9.702              2.57381
        9.727              2.51066
        9.751              2.55186
        9.776              2.56939
        9.800              2.58557
        9.825              2.51569
        9.849              2.63369
        9.874              2.46187
        9.899              2.66564
        9.923              2.54762
        9.947              2.58291
        9.971              2.60919
        9.995              2.75651
       10.019              2.53140
       10.043              2.60260
       10.067              2.61342
       10.091              2.60173
       10.116              2.59100
       10.140              2.63457
       10.163              2.64867
       10.187              2.70909
       10.210              2.67586
       10.234              2.66045
       10.258              2.59271
       10.282              2.64233
       10.305              2.65517
       10.329              2.65932
       10.353              2.68352
       10.376              2.68214
       10.399              2.71506
       10.422              2.72826
       10.445              2.70210
       10.469              2.65292
       10.493              2.67529
       10.516              2.75313
       10.539              2.71600
       10.562              2.70827
       10.585              2.74975
       10.608              2.77000
       10.630              2.72814
       10.653              2.73265
       10.676              2.75349
       10.699              2.75687
       10.722              2.69295
       10.745              2.82873
       10.767              2.79327
       10.791              2.64244
       10.813              2.97091
       10.835              2.82099
       10.857              2.75445
       10.880              2.79501
       10.902              2.88524
       10.924              2.82010
       10.947              2.68317
       10.969              2.94474
       10.991              2.81379
       11.013              2.85483
       11.035              2.91387
       11.057              2.86720
       11.079              2.77330
       11.101              2.92350
       11.123              2.80224
       11.145              2.88035
       11.166              3.13173
       11.187              2.82555
       11.210              2.69746
       11.233              2.86537
       11.254              2.92309
       11.276              2.87205
       11.298              2.92187
       11.319              2.92146
       11.341              2.96545
       11.362              2.94060
       11.384              2.87758
       11.405              2.91387
       11.427              2.95582
       11.448              2.95152
       11.469              2.89081
       11.491              2.89588
       11.512              2.99799
       11.534              2.96153
       11.555              2.97471
       11.576              2.93045
       11.597              3.00243
       11.618              3.10803
       11.639              2.85068
       11.660              3.04905
       11.681              3.09425
       11.701              2.99856
       11.722              3.14773
       11.742              3.04787
       11.763              2.97908
