        t / s      omega / (rad/s)
        0.154              0.20458
        0.425              0.26692
        0.641              0.31973
        0.825              0.36671
        0.988              0.40723
        1.137              0.43384
        1.274              0.49005
        1.399              0.51645
        1.520              0.51894
        1.631              0.61558
        1.734              0.61240
        1.835              0.62455
        1.933              0.65998
        2.025              0.70653
        2.114              0.71468
        2.202              0.70279
        2.287              0.79498
        2.366              0.78081
        2.445              0.81391
        2.521              0.85085
        2.594              0.85815
        2.668              0.84901
        2.739              0.91478
        2.809              0.89419
        2.877              0.93787
        2.941              1.03861
        3.004              0.95344
        3.071              0.92707
        3.136              1.00091
        3.198              1.03786
        3.259              1.03400
        3.319              1.06759
        3.377              1.08228
        3.434              1.11315
        3.491              1.11781
        3.547              1.10813
        3.603              1.13655
        3.658              1.16805
        3.711              1.17819
        3.765              1.16606
        3.818              1.18548
        3.870              1.23685
        3.921              1.23958
        3.971              1.25498
        4.021              1.24743
        4.071              1.29422
        4.118              1.34722
        4.167              1.25021
        4.215              1.34688
        4.261              1.37853
        4.308              1.34766
        4.353              1.42347
        4.398              1.39147
        4.443              1.36927
        4.488              1.41322
        4.533              1.40262
        4.577              1.47635
        4.620              1.43501
        4.663              1.44206
        4.707              1.44537
        4.750              1.49496
        4.792              1.49571
        4.833              1.53189
        4.875              1.50186
        4.916              1.53432
        4.957              1.55313
        4.997              1.56895
        5.038              1.53331
        5.078              1.61277
        5.118              1.51336
        5.158              1.64805
        5.197              1.57810
        5.236              1.60835
        5.275              1.63123
        5.312              1.73029
        5.350              1.59435
        5.389              1.64632
        5.427              1.66055
        5.465              1.65932
        5.503              1.65753
        5.540              1.69071
        5.577              1.70660
        5.613              1.75053
        5.650              1.73324
        5.686              1.72986
        5.723              1.69012
        5.759              1.72729
        5.796              1.73977
        5.832              1.75053
        5.867              1.77326
        5.903              1.77617
        5.938              1.80215
        5.973              1.81658
        6.007              1.80385
        6.042              1.77451
        6.078              1.79509
        6.112              1.85006
        6.146              1.83066
        6.181              1.82736
        6.215              1.86130
        6.248              1.87827
        6.282              1.85498
        6.316              1.86075
        6.349              1.88131
        6.383              1.88537
        6.416              1.84778
        6.449              1.94412
        6.482              1.92464
        6.515              1.82571
        6.548              2.05629
        6.579              1.95683
        6.612              1.91485
        6.644              1.94785
        6.676              2.01481
        6.708              1.97429
        6.740              1.88209
        6.772              2.07004
        6.803              1.98339
        6.834              2.01636
        6.865              2.06277
        6.896              2.03405
        6.927              1.97169
        6.958              2.08474
        6.989              2.00127
        7.020              2.06392
        7.049              2.24865
        7.079              2.03287
        7.110              1.94556
        7.142              2.07086
        7.172              2.11848
        7.201              2.08467
        7.231              2.12629
        7.261              2.12975
        7.290              2.16438
        7.319              2.15406
        7.349              2.10994
        7.378              2.14480
        7.407              2.17811
        7.436              2.18030
        7.465              2.13402
        7.495              2.14802
        7.523              2.22233
        7.552              2.20316
        7.580              2.21543
        7.609              2.18204
        7.637              2.24753
        7.665              2.32092
        7.693              2.13925
        7.721              2.28829
        7.748              2.32556
        7.776              2.26046
        7.803              2.37012
        7.830              2.30584
        7.857              2.25155
        7.885              2.31161
        7.912              2.27825
        7.939              2.38659
        7.966              2.30635
        7.993              2.30796
        8.021              2.29951
        8.048              2.36744
        8.074              2.35749
        8.101              2.40229
        8.127              2.34806
        8.154              2.38433
        8.180              2.40505
        8.206              2.42005
        8.232              2.35793
        8.258              2.46951
        8.285              2.30847
        8.311              2.50226
        8.336              2.38786
        8.363              2.42444
        8.388              2.44873
        8.413              2.58898
        8.439              2.37873
        8.465              2.44491
        8.490              2.45763
        8.516              2.44349
        8.542              2.43960
        8.567              2.47750
        8.593              2.49432
        8.617              2.55020
        8.642              2.52074
        8.667              2.50666
        8.693              2.44349
        8.718              2.49007
        8.743              2.50356
        8.768              2.50676
        8.793              2.53293
        8.818              2.53079
        8.843              2.56216
        8.867              2.57434
        8.892              2.55155
        8.917              2.50256
        8.942              2.52763
        8.966              2.59754
        8.990              2.56645
        9.015              2.55508
        9.039              2.59937
        9.063              2.61527
        9.088              2.57952
        9.112              2.58153
        9.136              2.60130
        9.160              2.60843
        9.185              2.54535
        9.209              2.67848
        9.232              2.64177
        9.257              2.50286
        9.281              2.81190
        9.304              2.67461
        9.327              2.60789
        9.351              2.65124
        9.375              2.73408
        9.398              2.67540
        9.422              2.54483
        9.445              2.79464
        9.469              2.67063
        9.492              2.71295
        9.515              2.76549
