        t / s      omega / (rad/s)
        9.538              2.72566
        9.561              2.63556
        9.584              2.77956
        9.607              2.66553
        9.631              2.74088
        9.653              2.98262
        9.675              2.68926
        9.699              2.56960
        9.723              2.72660
        9.745              2.79228
        9.768              2.73610
        9.791              2.79215
        9.813              2.78745
        9.836              2.83588
        9.858              2.80888
        9.881              2.75204
        9.903              2.78819
        9.926              2.83128
        9.948              2.83039
        9.970              2.76196
        9.993              2.78029
       10.015              2.86655
       10.037              2.84294
       10.059              2.85003
       10.081              2.80675
       10.104              2.88471
       10.125              2.97542
       10.147              2.73670
       10.169              2.92309
       10.191              2.96881
       10.212              2.87705
       10.233              3.01294
       10.255              2.93100
       10.276              2.85651
       10.298              2.93004
       10.320              2.88710
       10.341              3.01207
       10.362              2.91401
       10.384              2.90579
       10.405              2.89654
       10.427              2.97429
       10.448              2.95651
       10.469              3.01280
       10.490              2.93524
       10.511              2.98262
       10.532              2.99899
       10.553              3.01467
       10.574              2.93442
       10.595              3.06736
       10.617              2.86537
       10.638              3.10342
       10.658              2.95888
       10.680              3.00128
       10.700              3.02936
       10.721              3.20113
       10.741              2.93607
       10.762              3.01888
       10.783              3.03009
       10.804              3.01395
       10.825              3.00300
       10.845              3.04757
       10.866              3.06572
       10.886              3.13376
       10.906              3.09364
       10.927              3.07592
       10.947              2.99271
       10.968              3.05276
       10.989              3.06243
       11.009              3.06811
       11.030              3.09471
       11.050              3.09242
       11.070              3.12783
       11.090              3.13892
       11.110              3.11033
       11.131              3.04994
       11.151              3.07517
       11.171              3.16103
       11.191              3.11635
       11.212              3.10833
       11.232              3.15516
