        t / s      omega / (rad/s)
        0.085              0.37091
        0.234              0.48641
        0.353              0.58211
        0.455              0.65387
        0.545              0.74510
        0.625              0.83279
        0.701              0.82280
        0.772              0.93549
        0.837              1.00071
        0.900              1.01849
        0.959              1.11457
        1.015              1.12402
        1.070              1.13912
        1.124              1.20701
        1.175              1.22683
        1.225              1.31947
        1.273              1.30968
        1.320              1.34187
        1.366              1.36859
        1.411              1.43803
        1.455              1.46117
        1.497              1.51764
        1.538              1.50850
        1.579              1.56026
        1.619              1.59756
        1.658              1.63510
        1.697              1.61538
        1.734              1.71686
        1.772              1.62739
        1.809              1.78672
        1.845              1.72715
        1.881              1.77436
        1.916              1.81307
        1.949              1.93704
        1.983              1.79787
        2.017              1.86955
        2.050              1.89721
        2.083              1.90810
        2.116              1.92000
        2.149              1.97033
        2.180              1.99942
        2.211              2.06426
        2.242              2.05548
        2.272              2.06432
        2.303              2.02670
        2.333              2.08418
        2.363              2.11072
        2.393              2.13025
        2.422              2.16923
        2.451              2.18576
        2.480              2.22895
        2.508              2.25398
        2.536              2.25155
        2.564              2.22303
        2.592              2.26038
        2.619              2.33836
        2.646              2.32444
        2.673              2.33039
        2.700              2.38460
        2.726              2.41364
        2.752              2.39378
        2.778              2.41095
        2.804              2.44529
        2.830              2.46148
        2.855              2.41959
        2.881              2.55559
        2.905              2.53958
        2.931              2.41318
        2.955              2.73099
        2.979              2.60443
        3.003              2.55508
        3.027              2.60691
        3.051              2.70582
        3.075              2.65764
        3.099              2.54030
        3.122              2.80212
        3.145              2.68914
        3.168              2.74327
        3.191              2.80976
        3.213              2.77992
        3.236              2.69989
        3.259              2.85755
        3.281              2.75180
        3.304              2.84011
        3.325              3.10204
        3.346              2.80901
        3.369              2.69399
        3.392              2.87284
        3.413              2.94474
        3.435              2.90444
        3.456              2.96559
        3.478              2.97640
        3.498              3.03345
        3.519              3.01641
        3.540              2.96601
        3.561              3.01236
        3.582              3.06796
        3.602              3.07021
        3.623              3.01815
        3.644              3.03917
        3.664              3.14458
        3.684              3.13126
        3.704              3.14254
        3.724              3.10818
        3.744              3.20342
        3.763              3.30920
        3.783              3.05840
        3.803              3.26807
        3.822              3.33184
        3.841              3.24043
        3.860              3.40073
        3.879              3.31269
        3.898              3.24009
        3.917              3.32672
        3.936              3.28790
        3.955              3.43907
        3.973              3.33308
        3.992              3.33467
        4.011              3.32778
        4.030              3.42931
        4.048              3.41477
        4.066              3.48891
        4.085              3.40829
        4.103              3.46812
        4.121              3.49843
        4.139              3.52394
        4.157              3.43419
        4.175              3.60336
        4.193              3.37008
        4.211              3.65684
        4.228              3.49726
        4.246              3.55183
        4.264              3.59244
        4.281              3.80016
        4.298              3.49240
        4.316              3.59717
        4.333              3.61581
        4.350              3.60585
        4.368              3.59656
        4.385              3.66089
        4.402              3.68386
        4.419              3.77641
        4.436              3.73199
        4.453              3.71764
        4.470              3.62122
        4.487              3.70886
        4.504              3.72315
        4.521              3.73222
        4.538              3.77800
        4.554              3.78118
        4.571              3.82398
        4.587              3.85519
        4.603              3.81933
        4.620              3.74825
        4.637              3.79374
        4.653              3.90066
        4.669              3.85188
        4.686              3.84763
        4.702              3.91378
        4.718              3.93659
        4.734              3.88859
        4.750              3.89848
        4.766              3.92846
        4.782              3.93955
        4.798              3.85424
        4.814              4.04480
        4.830              4.00203
        4.846              3.79259
        4.861              4.26673
        4.877              4.05367
        4.892              3.96066
        4.908              4.02665
        4.923              4.15500
        4.939              4.06573
        4.954              3.87373
        4.970              4.25229
        4.985              4.06784
        5.000              4.13096
        5.015              4.21719
        5.030              4.15830
        5.046              4.02175
        5.061              4.24368
        5.076              4.07232
        5.091              4.19130
        5.106              4.55666
        5.120              4.11338
        5.136              3.93634
        5.151              4.17821
        5.166              4.26557
        5.181              4.19298
        5.196              4.27981
        5.211              4.27631
        5.225              4.33832
        5.240              4.31182
        5.255              4.22399
        5.269              4.27835
        5.284              4.34462
        5.298              4.34582
        5.313              4.24913
        5.328              4.26412
        5.342              4.40863
        5.357              4.37578
        5.371              4.38464
        5.385              4.31389
        5.400              4.44418
        5.414              4.58526
        5.428              4.21804
        5.442              4.50278
        5.456              4.57791
        5.470              4.44387
        5.484              4.65456
        5.498              4.51995
        5.512              4.42665
        5.526              4.53103
        5.540              4.46439
        5.553              4.66839
        5.567              4.51313
        5.581              4.50989
        5.595              4.49120
        5.609              4.61761
