        t / s      omega / (rad/s)
        0.182              0.17268
        0.500              0.23007
        0.748              0.28251
        0.960              0.31292
        1.150              0.34804
        1.326              0.36867
        1.489              0.40332
        1.640              0.43154
        1.781              0.45844
        1.917              0.46820
        2.045              0.51219
        2.170              0.49756
        2.289              0.55883
        2.402              0.55267
        2.513              0.57879
        2.620              0.60161
        2.720              0.65303
        2.819              0.61484
        2.919              0.64837
        3.014              0.66682
        3.108              0.67860
        3.199              0.69023
        3.289              0.71475
        3.376              0.73209
        3.460              0.76190
        3.542              0.76487
        3.624              0.77277
        3.706              0.76486
        3.786              0.79197
        3.865              0.80770
        3.942              0.82058
        4.018              0.83953
        4.092              0.84708
        4.166              0.86451
        4.238              0.87608
        4.310              0.87739
        4.382              0.86933
        4.453              0.88467
        4.523              0.91833
        4.592              0.91490
        4.660              0.91780
        4.728              0.94084
        4.794              0.95518
        4.860              0.95027
        4.926              0.95982
        4.991              0.97671
        5.055              0.98598
        5.119              0.97213
        5.182              1.02964
        5.243              1.02569
        5.306              0.97829
        5.366              1.10940
        5.424              1.06219
        5.484              1.04499
        5.543              1.06935
        5.601              1.11156
        5.658              1.09446
        5.716              1.04982
        5.773              1.16018
        5.828              1.11604
        5.884              1.14045
        5.939              1.17095
        5.992              1.16127
        6.047              1.13017
        6.101              1.19913
        6.155              1.15640
        6.208              1.19639
        6.258              1.31064
        6.309              1.18894
        6.363              1.14481
        6.416              1.22353
        6.466              1.25742
        6.517              1.24242
        6.567              1.27211
        6.616              1.27957
        6.664              1.30611
        6.713              1.30146
        6.761              1.28035
        6.810              1.30359
        6.858              1.33113
        6.905              1.33497
        6.952              1.31165
        7.000              1.32445
        7.047              1.37280
        7.092              1.36754
        7.138              1.37717
        7.184              1.36106
        7.230              1.40359
        7.274              1.45437
        7.319              1.34293
        7.364              1.43800
        7.407              1.46766
        7.450              1.42900
        7.493              1.50391
        7.536              1.46407
        7.579              1.43442
        7.622              1.47413
        7.665              1.45636
        7.707              1.52675
        7.749              1.47857
        7.792              1.47916
        7.834              1.47732
        7.876              1.52261
        7.917              1.51918
        7.958              1.55022
        7.999              1.51625
        8.040              1.54431
        8.081              1.55922
        8.121              1.57123
        8.161              1.53144
        8.201              1.60790
        8.242              1.50449
        8.282              1.63306
        8.321              1.56189
        8.361              1.58686
        8.401              1.60613
        8.439              1.70004
        8.477              1.56321
        8.517              1.60942
        8.556              1.61971
        8.595              1.61563
        8.634              1.61169
        8.672              1.64009
        8.710              1.65190
        8.748              1.69363
        8.785              1.67476
        8.823              1.66787
        8.861              1.62773
        8.899              1.66152
        8.937              1.66982
        8.974              1.67494
        9.012              1.69303
        9.049              1.69408
        9.086              1.71550
        9.122              1.72416
        9.159              1.71097
        9.196              1.68009
        9.233              1.69866
        9.270              1.74863
        9.306              1.72852
        9.342              1.72444
        9.378              1.75596
        9.414              1.76777
        9.450              1.74509
        9.486              1.74985
        9.521              1.76613
        9.557              1.76847
        9.593              1.73124
        9.628              1.82121
        9.663              1.80065
        9.699              1.70539
        9.734              1.92070
        9.767              1.82704
        9.802              1.78464
        9.837              1.81390
        9.871              1.87731
        9.905              1.83638
        9.940              1.74951
        9.974              1.92229
       10.007              1.84042
       10.041              1.87027
       10.075              1.91071
       10.108              1.88497
       10.142              1.82492
       10.175              1.92653
       10.208              1.85017
       10.242              1.90492
       10.274              2.07393
       10.305              1.87356
       10.340              1.79166
       10.374              1.90521
       10.406              1.94761
       10.439              1.91467
       10.471              1.95227
       10.504              1.95409
       10.535              1.98546
       10.567              1.97237
       10.599              1.93162
       10.632              1.96031
       10.663              1.99226
       10.695              1.98911
       10.727              1.94532
       10.759              1.96129
       10.791              2.02390
       10.822              2.01094
       10.853              2.01714
       10.884              1.98709
       10.916              2.04391
       10.946              2.11051
       10.977              1.94207
       11.008              2.07867
       11.038              2.10859
       11.068              2.04958
       11.098              2.14964
       11.128              2.08570
       11.159              2.03993
       11.189              2.09028
       11.219              2.05993
       11.249              2.15598
       11.279              2.08073
       11.309              2.08177
       11.339              2.07127
       11.369              2.13112
       11.399              2.11919
       11.428              2.15835
       11.458              2.10584
       11.487              2.13845
       11.516              2.15362
       11.546              2.16557
       11.575              2.10647
       11.604              2.20571
       11.634              2.05891
       11.663              2.22919
       11.692              2.12795
       11.721              2.15687
       11.750              2.17811
       11.778              2.30136
       11.807              2.11228
       11.836              2.17036
       11.865              2.18037
       11.894              2.16983
       11.923              2.16162
       11.952              2.19569
       11.980              2.20741
       12.008              2.25851
       12.036              2.22879
       12.065              2.21692
       12.093              2.15910
       12.122              2.20138
       12.151              2.21044
       12.179              2.21247
       12.207              2.23537
       12.235              2.23466
       12.263              2.26120
       12.291              2.27018
       12.319              2.25107
       12.347              2.20765
       12.375              2.22753
       12.403              2.29021
