        t / s      omega / (rad/s)
        0.265              0.11843
        0.702              0.18354
        1.014              0.22291
        1.275              0.26027
        1.501              0.29828
        1.704              0.32290
        1.892              0.34609
        2.067              0.37416
        2.230              0.39745
        2.385              0.41221
        2.534              0.43240
        2.676              0.45523
        2.811              0.47297
        2.943              0.47809
        3.070              0.51897
        3.190              0.52807
        3.310              0.51356
        3.424              0.59363
        3.532              0.57845
        3.640              0.57907
        3.746              0.60361
        3.848              0.63773
        3.946              0.63708
        4.046              0.62070
        4.142              0.69742
        4.233              0.68071
        4.324              0.70540
        4.411              0.73328
        4.497              0.73584
        4.583              0.72562
        4.666              0.77979
        4.748              0.76088
        4.829              0.79578
        4.904              0.87944
        4.979              0.80506
        5.058              0.78126
        5.135              0.84219
        5.209              0.87240
        5.281              0.86858
        5.352              0.89581
        5.422              0.90720
        5.490              0.93209
        5.557              0.93680
        5.625              0.92660
        5.692              0.94984
        5.757              0.97541
        5.821              0.98325
        5.885              0.97129
        5.950              0.98592
        6.012              1.02661
        6.073              1.02665
        6.134              1.03794
        6.195              1.03120
        6.255              1.07119
        6.312              1.11333
        6.371              1.03138
        6.430              1.10993
        6.486              1.13495
        6.542              1.10987
        6.597              1.17079
        6.651              1.14373
        6.706              1.12477
        6.762              1.15928
        6.816              1.14862
        6.869              1.20779
        6.922              1.17195
        6.976              1.17822
        7.029              1.17928
        7.081              1.21814
        7.133              1.21892
        7.184              1.24763
        7.235              1.22284
        7.286              1.24800
        7.336              1.26158
        7.385              1.27461
        7.435              1.24489
        7.484              1.31001
        7.534              1.22781
        7.583              1.33517
        7.631              1.27931
        7.680              1.30230
        7.728              1.31986
        7.774              1.39859
        7.821              1.28809
        7.869              1.32817
        7.916              1.33560
        7.963              1.33243
        8.010              1.32873
        8.057              1.35239
        8.104              1.36188
        8.149              1.39471
        8.194              1.37995
        8.240              1.37446
        8.286              1.34099
        8.333              1.36999
        8.378              1.37768
        8.424              1.38204
        8.469              1.39975
        8.514              1.40134
        8.559              1.42025
        8.603              1.43021
        8.647              1.42025
        8.691              1.39738
        8.736              1.41297
        8.780              1.45461
        8.823              1.43968
        8.867              1.43524
        8.910              1.46257
        8.953              1.47396
        8.996              1.45670
        9.039              1.46046
        9.082              1.47690
        9.124              1.48185
        9.167              1.45142
        9.209              1.52820
        9.251              1.51289
        9.293              1.43403
        9.335              1.61725
        9.375              1.53913
        9.416              1.50420
        9.457              1.53151
        9.498              1.58570
        9.538              1.55229
        9.579              1.48101
        9.620              1.63034
        9.659              1.56112
        9.699              1.58871
        9.738              1.62268
        9.777              1.60314
        9.817              1.55328
        9.856              1.64146
        9.895              1.57703
        9.934              1.62486
        9.972              1.77251
       10.009              1.60146
       10.049              1.53342
       10.089              1.63123
       10.127              1.67035
       10.165              1.64331
       10.203              1.67610
       10.240              1.67838
       10.277              1.70892
       10.314              1.69898
       10.351              1.66411
       10.389              1.69048
       10.426              1.71817
       10.462              1.71911
       10.499              1.68477
       10.536              1.69536
       10.573              1.75180
       10.609              1.73924
       10.645              1.74301
       10.681              1.71860
       10.717              1.77391
       10.752              1.82826
       10.788              1.68292
       10.824              1.79771
       10.859              1.82730
       10.894              1.77451
       10.928              1.85921
       10.963              1.80453
       10.998              1.76331
       11.033              1.80697
       11.068              1.78054
       11.103              1.86257
       11.137              1.79905
       11.172              1.80075
       11.207              1.79192
       11.241              1.84058
       11.276              1.83279
       11.310              1.86766
       11.344              1.82021
       11.378              1.84914
       11.412              1.86218
       11.445              1.87167
       11.479              1.81916
       11.513              1.90555
       11.547              1.77787
       11.581              1.92411
       11.615              1.83628
       11.649              1.86202
       11.682              1.87692
       11.715              1.98239
       11.748              1.81984
       11.782              1.86883
       11.816              1.87563
       11.849              1.86777
       11.883              1.85910
       11.917              1.88957
       11.950              1.90152
       11.982              1.94159
       12.015              1.91783
       12.048              1.91182
       12.081              1.85888
       12.115              1.89698
       12.148              1.90555
       12.181              1.90810
       12.213              1.92623
       12.246              1.92830
       12.278              1.94743
       12.311              1.95750
       12.343              1.94057
       12.375              1.90365
       12.408              1.92182
       12.441              1.97603
       12.473              1.95051
       12.505              1.94213
       12.537              1.97653
       12.569              1.98703
       12.600              1.95994
       12.632              1.96215
       12.664              1.97659
       12.696              1.97958
       12.728              1.93400
       12.760              2.03352
       12.791              2.01062
       12.823              1.89882
       12.854              2.13932
       12.885              2.03103
       12.916              1.98170
       12.947              2.01345
       12.978              2.07970
       13.009              2.03142
       13.040              1.93478
       13.071              2.12349
       13.102              2.03188
       13.132              2.06324
       13.162              2.10316
       13.193              2.07421
       13.223              2.00421
       13.254              2.11562
       13.284              2.02801
       13.315              2.08661
       13.344              2.27018
       13.373              2.04844
       13.404              1.95494
       13.435              2.07874
       13.465              2.12320
       13.495              2.08667
       13.525              2.12478
       13.555              2.12349
       13.584              2.15798
       13.613              2.14122
       13.643              2.09628
       13.673              2.12456
       13.702              2.15672
       13.731              2.15554
       13.761              2.10464
       13.790              2.11876
       13.820              2.18614
       13.848              2.16587
       13.877              2.17141
       13.907              2.13750
       13.936              2.19946
       13.964              2.26879
       13.993              2.08577
       14.022              2.22982
       14.050              2.26225
       14.078              2.19761
       14.106              2.30069
       14.134              2.23354
       14.162              2.18386
       14.190              2.23800
       14.219              2.20393
       14.247              2.30423
       14.274              2.22406
       14.303              2.22516
       14.331              2.21449
       14.359              2.27619
       14.387              2.26437
       14.414              2.30728
       14.442              2.24881
       14.469              2.28554
       14.497              2.29934
       14.524              2.31306
       14.552              2.24825
       14.579              2.35502
       14.607              2.19846
       14.634              2.38171
       14.661              2.27215
       14.689              2.30609
       14.716              2.32762
       14.742              2.45763
       14.769              2.25559
       14.796              2.31792
       14.823              2.32444
       14.850              2.31595
       14.877              2.30246
       14.905              2.33984
       14.931              2.35149
       14.958              2.40146
       14.984              2.37128
       15.011              2.35731
       15.038              2.29280
       15.065              2.33706
       15.092              2.34614
       15.118              2.34780
       15.145              2.36976
       15.172              2.36726
       15.198              2.39350
