        t / s      omega / (rad/s)
        0.148              0.21277
        0.405              0.28577
        0.604              0.35371
        0.768              0.41864
        0.912              0.45603
        1.047              0.47623
        1.168              0.56431
        1.278              0.57657
        1.384              0.62081
        1.481              0.66586
        1.574              0.68585
        1.666              0.69203
        1.752              0.75881
        1.835              0.75396
        1.916              0.80214
        1.990              0.89884
        2.063              0.83411
        2.139              0.82000
        2.212              0.89437
        2.281              0.93571
        2.348              0.93956
        2.414              0.97898
        2.477              0.99955
        2.539              1.03567
        2.599              1.04777
        2.659              1.04490
        2.718              1.07699
        2.776              1.11223
        2.832              1.12847
        2.888              1.12034
        2.943              1.14242
        2.997              1.19559
        3.050              1.20144
        3.102              1.22015
        3.153              1.21607
        3.204              1.26384
        3.252              1.31822
        3.302              1.22671
        3.351              1.32264
        3.398              1.35691
        3.445              1.32837
        3.491              1.40582
        3.536              1.37527
        3.582              1.35565
        3.628              1.40106
        3.673              1.39058
        3.717              1.46383
        3.760              1.42434
        3.804              1.43226
        3.848              1.43606
        3.891              1.48479
        3.934              1.48444
        3.975              1.51863
        4.017              1.48771
        4.059              1.51797
        4.100              1.53413
        4.141              1.54888
        4.182              1.51249
        4.223              1.59044
        4.263              1.49149
        4.304              1.62251
        4.343              1.55497
        4.383              1.58462
        4.423              1.60724
        4.461              1.70544
        4.499              1.57198
        4.538              1.62180
        4.577              1.63876
        4.615              1.63915
        4.654              1.63808
        4.692              1.67168
        4.729              1.68980
        4.766              1.73411
        4.802              1.71841
        4.839              1.71634
        4.876              1.67887
        4.913              1.71775
        4.949              1.73038
        4.985              1.74233
        5.021              1.76568
        5.057              1.77021
        5.092              1.79735
        5.127              1.81286
        5.162              1.80220
        5.197              1.77416
        5.232              1.79663
        5.266              1.85334
        5.300              1.83585
        5.335              1.83499
        5.369              1.87033
        5.402              1.89082
        5.435              1.87050
        5.469              1.87726
        5.502              1.90054
        5.535              1.90793
        5.568              1.86983
        5.601              1.97045
        5.633              1.95227
        5.666              1.85115
        5.698              2.08994
        5.729              1.98904
        5.761              1.94719
        5.793              1.98427
        5.824              2.05159
        5.855              2.01255
        5.887              1.92052
        5.918              2.11349
        5.949              2.02605
        5.979              2.06263
        6.009              2.10994
        6.039              2.08398
        6.070              2.02032
        6.100              2.13772
        6.130              2.05413
        6.160              2.11962
        6.189              2.31059
        6.217              2.09042
        6.248              2.00191
        6.279              2.13242
        6.308              2.18272
        6.337              2.15082
        6.366              2.19308
        6.394              2.20131
        6.423              2.23760
