        t / s      omega / (rad/s)
        6.451              2.22721
        6.479              2.18325
        6.508              2.21778
        6.536              2.25916
        6.564              2.25722
        6.592              2.21426
        6.620              2.22761
        6.648              2.30669
        6.675              2.29021
        6.702              2.30103
        6.730              2.26511
        6.757              2.34351
        6.784              2.41225
        6.811              2.23180
        6.838              2.38017
        6.864              2.42838
        6.890              2.35387
        6.917              2.47662
        6.942              2.40266
        6.969              2.35369
        6.995              2.41401
        7.021              2.38388
        7.047              2.49362
        7.073              2.41466
        7.099              2.41345
        7.125              2.40947
        7.150              2.47897
        7.176              2.47107
        7.201              2.51730
        7.226              2.46052
        7.252              2.50276
        7.277              2.52165
        7.301              2.53907
        7.326              2.47262
        7.351              2.59026
        7.376              2.42547
        7.401              2.62686
        7.426              2.51398
        7.451              2.54906
        7.475              2.57994
        7.499              2.72270
        7.523              2.50556
        7.548              2.57297
        7.572              2.59036
        7.596              2.57592
        7.621              2.57160
        7.645              2.61168
        7.669              2.63027
        7.693              2.68937
        7.716              2.66124
        7.740              2.64544
        7.764              2.57962
        7.788              2.62983
        7.812              2.64477
        7.835              2.65057
        7.859              2.67643
        7.883              2.67997
        7.906              2.70839
        7.929              2.72412
        7.952              2.69989
        7.976              2.65236
        7.999              2.67666
        8.022              2.75361
        8.045              2.72200
        8.068              2.71002
        8.091              2.75990
        8.114              2.77661
        8.137              2.74171
        8.160              2.74088
        8.183              2.76902
        8.205              2.76902
        8.228              2.71049
        8.251              2.84577
        8.273              2.81404
        8.296              2.66327
        8.318              2.99485
        8.340              2.84693
        8.362              2.77759
        8.385              2.82289
        8.407              2.91550
        8.428              2.84952
        8.451              2.71400
        8.473              2.97866
        8.495              2.84848
        8.517              2.89294
        8.538              2.95262
        8.559              2.90861
        8.581              2.81353
        8.603              2.96783
        8.625              2.84436
        8.647              2.92772
        8.667              3.18329
        8.688              2.87192
        8.710              2.74423
        8.733              2.91387
        8.754              2.97781
        8.775              2.92391
        8.797              2.97626
        8.818              2.97795
        8.839              3.02382
        8.859              2.99942
        8.881              2.93717
        8.902              2.97640
        8.923              3.02280
        8.944              3.01714
        8.965              2.94902
        8.986              2.96111
        9.007              3.06288
        9.027              3.03829
        9.048              3.03888
        9.069              3.00473
        9.090              3.07969
        9.110              3.17943
        9.130              2.93073
        9.151              3.12006
        9.171              3.17975
        9.191              3.07818
        9.211              3.22910
        9.231              3.13563
        9.251              3.05677
        9.271              3.13845
        9.291              3.08771
        9.311              3.22860
        9.331              3.12084
        9.351              3.11203
        9.372              3.10526
        9.392              3.18620
        9.411              3.16868
        9.431              3.22927
        9.451              3.14395
        9.470              3.19788
        9.490              3.21571
        9.510              3.23292
        9.529              3.14458
        9.549              3.29083
        9.569              3.07397
        9.588              3.32831
        9.608              3.17493
        9.627              3.22198
        9.647              3.25132
        9.665              3.43419
        9.685              3.15215
        9.704              3.23976
        9.724              3.25132
        9.743              3.23759
        9.762              3.22264
        9.782              3.27352
        9.801              3.29221
        9.820              3.36701
        9.839              3.32040
        9.858              3.30103
        9.877              3.21473
        9.896              3.27984
        9.915              3.29359
        9.934              3.29325
        9.953              3.32972
        9.972              3.32461
        9.991              3.35927
       10.010              3.38024
       10.028              3.34212
       10.047              3.27847
       10.066              3.31077
       10.085              3.39779
       10.104              3.35820
       10.123              3.33999
       10.141              3.39448
       10.160              3.41737
       10.178              3.36485
       10.197              3.36539
       10.215              3.39540
       10.234              3.39302
       10.253              3.31549
       10.271              3.47945
       10.289              3.43437
       10.308              3.24931
       10.326              3.65471
