        t / s      omega / (rad/s)
        0.214              0.14708
        0.569              0.22196
        0.828              0.26765
        1.052              0.29286
        1.245              0.36646
        1.415              0.37622
        1.580              0.38529
        1.737              0.41414
        1.882              0.45407
        2.018              0.46910
        2.152              0.46971
        2.277              0.53954
        2.394              0.53764
        2.508              0.56768
        2.615              0.59953
        2.719              0.60812
        2.823              0.60075
        2.924              0.64696
        3.022              0.63616
        3.118              0.67179
        3.207              0.74817
        3.295              0.69054
        3.387              0.67568
        3.476              0.73432
        3.560              0.76518
        3.642              0.76606
        3.722              0.79373
        3.801              0.80771
        3.877              0.83335
        3.953              0.83740
        4.028              0.83135
        4.102              0.85530
        4.175              0.88089
        4.246              0.89233
        4.316              0.88407
        4.387              0.90089
        4.455              0.94206
        4.522              0.94655
        4.587              0.95994
        4.653              0.95581
        4.718              0.99297
        4.780              1.03505
        4.843              0.96310
        4.905              1.03928
        4.965              1.06518
        5.025              1.04251
        5.083              1.10322
        5.141              1.08083
        5.199              1.06457
        5.258              1.10056
        5.315              1.09292
        5.371              1.15110
        5.426              1.12048
        5.482              1.12735
        5.538              1.13123
        5.592              1.17025
        5.646              1.17182
        5.699              1.20091
        5.752              1.17899
        5.805              1.20453
        5.856              1.22037
        5.908              1.23347
        5.959              1.20689
        6.010              1.27018
        6.061              1.19282
        6.111              1.29847
        6.161              1.24503
        6.211              1.26897
        6.260              1.28767
        6.307              1.36650
        6.355              1.25984
        6.404              1.30076
        6.452              1.31228
        6.500              1.31181
        6.548              1.31162
        6.596              1.33802
        6.642              1.34925
        6.688              1.38448
        6.734              1.37140
        6.780              1.36814
        6.826              1.33745
        6.873              1.36763
        6.919              1.37768
        6.964              1.38521
        7.009              1.40222
        7.054              1.40595
        7.098              1.42777
        7.142              1.43869
        7.186              1.43001
        7.230              1.40692
        7.275              1.42324
        7.318              1.46790
        7.361              1.45273
        7.404              1.44991
        7.447              1.47791
        7.490              1.49071
        7.532              1.47220
        7.575              1.47711
        7.617              1.49241
        7.659              1.49610
        7.701              1.46564
        7.743              1.54200
        7.784              1.52861
        7.826              1.44921
        7.867              1.63480
        7.907              1.55586
        7.948              1.52261
        7.988              1.55056
        8.028              1.60588
        8.068              1.57426
        8.109              1.50118
        8.149              1.65169
        8.188              1.58255
        8.227              1.61041
        8.265              1.64662
        8.304              1.62650
        8.343              1.57560
        8.382              1.66566
        8.420              1.60049
        8.459              1.65091
        8.496              1.79890
        8.532              1.62617
        8.572              1.55806
        8.611              1.65875
        8.648              1.69729
        8.686              1.66968
        8.723              1.70387
        8.760              1.70846
        8.796              1.73549
        8.833              1.72568
        8.869              1.69312
        8.906              1.72071
        8.942              1.75004
        8.978              1.74917
        9.015              1.71456
        9.051              1.72710
        9.087              1.78469
        9.122              1.77096
        9.158              1.77994
        9.193              1.75645
        9.228              1.80749
        9.263              1.86744
        9.298              1.72208
        9.333              1.84150
        9.367              1.87245
        9.401              1.81984
        9.435              1.90874
        9.468              1.85498
        9.502              1.81464
        9.536              1.86146
        9.570              1.83692
        9.604              1.92464
        9.637              1.86025
        9.671              1.86157
        9.705              1.85717
        9.738              1.90996
        9.771              1.90330
        9.804              1.93914
        9.836              1.89395
        9.869              1.92594
        9.902              1.93914
        9.934              1.95136
        9.967              1.89933
        9.999              1.98741
       10.032              1.85855
       10.064              2.01313
       10.096              1.92082
       10.129              1.95027
       10.161              1.96922
       10.192              2.07970
       10.223              1.91065
       10.256              1.96442
       10.288              1.97181
       10.320              1.96190
       10.352              1.95695
       10.384              1.98709
       10.415              2.00089
       10.446              2.04524
       10.477              2.01986
       10.508              2.01088
       10.540              1.95653
       10.572              1.99625
       10.603              2.00440
       10.635              2.00818
       10.666              2.02801
       10.697              2.02657
       10.727              2.05226
       10.758              2.06053
       10.789              2.04258
       10.820              2.00491
       10.851              2.02142
