        t / s      omega / (rad/s)
        0.231              0.13626
        0.585              0.25310
        0.805              0.32694
        0.985              0.37812
        1.138              0.44932
        1.272              0.48879
        1.399              0.50192
        1.513              0.60452
        1.617              0.60843
        1.719              0.62676
        1.816              0.66852
        1.906              0.72008
        1.993              0.73151
        2.079              0.72331
        2.161              0.82129
        2.238              0.80961
        2.314              0.84749
        2.386              0.88803
        2.457              0.89771
        2.527              0.88908
        2.595              0.95982
        2.661              0.94062
        2.726              0.98853
        2.787              1.09625
        2.847              1.00758
        2.910              0.98153
        2.972              1.06158
        3.030              1.10367
        3.087              1.10208
        3.143              1.14047
        3.197              1.15779
        3.251              1.19250
        3.303              1.19981
        3.356              1.19018
        3.408              1.22184
        3.459              1.25691
        3.508              1.26872
        3.558              1.25563
        3.608              1.27725
        3.656              1.33353
        3.703              1.33460
        3.750              1.35189
        3.796              1.34489
        3.842              1.39605
        3.886              1.45242
        3.931              1.34714
        3.976              1.45169
        4.019              1.48648
        4.062              1.45454
        4.104              1.53526
        4.145              1.50014
        4.188              1.47767
        4.229              1.52579
        4.271              1.51293
        4.311              1.59205
        4.351              1.54804
        4.392              1.55806
        4.432              1.56112
        4.472              1.61422
        4.511              1.61488
        4.549              1.65351
        4.587              1.62176
        4.626              1.65613
        4.663              1.67436
        4.701              1.69030
        4.738              1.65026
        4.776              1.73415
        4.813              1.62449
        4.850              1.76499
        4.887              1.69026
        4.923              1.71944
        4.960              1.74243
        4.995              1.84626
        5.030              1.70138
        5.067              1.75596
        5.102              1.76837
        5.138              1.76722
        5.173              1.76678
        5.209              1.80189
        5.243              1.81758
        5.277              1.86583
        5.311              1.84903
        5.345              1.84539
        5.380              1.80142
        5.414              1.84696
        5.448              1.85849
        5.482              1.87122
        5.515              1.89544
        5.548              1.89916
        5.581              1.92943
        5.613              1.94442
        5.646              1.93026
        5.679              1.90215
        5.712              1.92529
        5.744              1.98308
        5.776              1.96669
        5.808              1.96368
        5.839              2.00101
        5.870              2.02207
        5.902              1.99752
        5.933              2.00408
        5.964              2.02939
