        t / s      omega / (rad/s)
        5.995              2.03359
        6.026              1.99498
        6.057              2.10042
        6.087              2.07901
        6.118              1.97404
        6.148              2.22524
        6.177              2.11855
        6.207              2.07380
        6.237              2.10888
        6.266              2.18667
        6.296              2.13961
        6.326              2.04285
        6.355              2.24833
        6.383              2.15111
        6.412              2.19217
        6.441              2.23808
        6.469              2.21216
        6.498              2.14341
        6.526              2.26560
        6.555              2.17765
        6.583              2.24327
        6.610              2.44730
        6.637              2.21060
        6.666              2.11755
        6.695              2.25252
        6.722              2.30440
        6.750              2.27117
        6.777              2.31485
        6.804              2.32195
        6.831              2.35882
        6.858              2.34850
        6.885              2.29917
        6.912              2.33732
        6.939              2.37523
        6.965              2.37621
        6.992              2.32728
        7.019              2.34272
        7.045              2.42360
        7.071              2.40449
        7.097              2.41540
        7.124              2.38216
        7.149              2.45523
        7.175              2.53344
        7.201              2.33645
        7.227              2.49729
        7.252              2.54071
        7.277              2.46719
        7.301              2.59004
        7.326              2.51589
        7.351              2.45936
        7.377              2.52235
        7.402              2.49026
        7.426              2.60529
        7.451              2.51942
        7.476              2.52033
        7.501              2.51297
        7.525              2.58514
        7.550              2.57508
        7.574              2.62390
        7.598              2.56247
        7.622              2.60465
        7.647              2.62477
        7.670              2.64221
        7.694              2.57097
        7.718              2.69526
        7.742              2.51912
        7.766              2.73040
        7.790              2.60930
        7.814              2.64800
        7.838              2.67495
        7.860              2.82708
        7.884              2.59980
        7.907              2.67324
        7.931              2.68432
        7.954              2.67506
        7.978              2.66203
        8.001              2.71119
        8.024              2.73040
        8.047              2.79042
        8.070              2.76293
        8.093              2.74423
        8.116              2.67883
        8.139              2.72874
        8.162              2.74567
        8.185              2.74987
        8.208              2.77820
        8.230              2.77956
        8.253              2.81114
        8.275              2.82797
        8.297              2.80062
        8.320              2.75276
        8.343              2.77575
        8.365              2.85846
        8.387              2.82111
        8.409              2.81152
        8.431              2.86080
        8.453              2.87758
        8.475              2.84037
        8.497              2.83986
        8.519              2.86995
        8.541              2.87074
        8.564              2.80763
        8.585              2.95054
        8.607              2.91306
        8.629              2.75736
        8.650              3.10189
        8.671              2.94639
        8.693              2.87494
        8.715              2.91997
        8.736              3.01569
        8.757              2.94958
        8.779              2.80412
        8.800              3.08120
        8.821              2.94363
        8.842              2.98915
        8.863              3.04935
        8.884              3.00315
        8.905              2.90646
        8.926              3.06288
        8.947              2.93785
        8.968              3.02251
        8.988              3.28515
        9.008              2.96517
        9.030              2.83512
        9.051              3.00804
        9.072              3.07728
        9.093              3.01844
        9.113              3.07652
        9.134              3.07562
        9.154              3.12115
        9.174              3.10158
        9.195              3.03096
        9.215              3.07382
        9.236              3.12255
        9.256              3.11249
        9.276              3.04817
        9.297              3.05930
        9.317              3.15976
        9.337              3.13048
        9.357              3.13751
        9.377              3.09045
        9.397              3.17605
        9.417              3.27659
        9.437              3.01467
        9.457              3.21522
        9.476              3.26264
        9.496              3.18104
        9.515              3.32655
        9.534              3.22479
        9.554              3.15738
        9.574              3.22910
        9.593              3.18329
        9.612              3.32955
        9.632              3.21161
        9.651              3.21440
        9.671              3.19771
        9.690              3.28601
        9.709              3.27317
        9.728              3.32990
        9.748              3.24981
        9.767              3.30017
        9.786              3.32092
        9.805              3.34301
        9.824              3.24931
        9.843              3.40386
        9.862              3.17686
        9.881              3.44341
        9.899              3.28739
        9.918              3.33166
        9.937              3.36774
        9.955              3.55525
        9.974              3.26298
        9.993              3.35748
       10.011              3.36611
       10.030              3.35318
       10.049              3.33697
       10.068              3.38935
       10.086              3.40922
