        t / s      omega / (rad/s)
        0.148              0.21173
        0.386              0.35175
        0.546              0.44181
        0.680              0.50454
        0.798              0.56030
        0.904              0.63424
        0.999              0.68170
        1.088              0.73093
        1.173              0.75913
        1.252              0.82118
        1.326              0.88867
        1.398              0.85418
        1.468              0.95057
        1.533              0.99930
        1.595              1.00194
        1.656              1.08187
        1.714              1.07957
        1.772              1.08370
        1.829              1.13915
        1.883              1.14952
        1.936              1.22730
        1.988              1.21066
        2.039              1.23415
        2.090              1.25295
        2.139              1.31066
        2.187              1.32643
        2.233              1.37226
        2.279              1.35961
        2.325              1.40362
        2.369              1.43229
        2.412              1.46042
        2.456              1.43885
        2.498              1.52679
        2.540              1.44371
        2.582              1.58235
        2.622              1.52838
        2.663              1.56766
        2.703              1.59902
        2.741              1.70507
        2.779              1.58012
        2.818              1.63932
        2.856              1.66046
        2.894              1.66804
        2.932              1.67525
        2.969              1.71686
        3.005              1.74049
        3.041              1.79448
        3.076              1.78606
        3.111              1.79013
        3.146              1.75376
        3.182              1.80624
        3.216              1.82460
        3.250              1.84301
        3.284              1.87418
        3.318              1.88650
        3.351              1.92105
        3.383              1.94345
        3.416              1.93567
        3.448              1.91374
        3.481              1.94219
        3.513              2.00843
        3.544              1.99618
        3.575              1.99828
        3.607              2.04504
        3.637              2.06956
        3.668              2.05011
        3.698              2.06514
        3.728              2.09244
        3.758              2.10450
        3.788              2.06895
        3.818              2.18151
        3.847              2.16736
        3.877              2.05979
        3.905              2.32771
        3.933              2.22091
        3.962              2.17894
        3.990              2.22311
        4.018              2.30525
        4.045              2.26356
        4.074              2.16415
        4.102              2.38596
        4.128              2.28937
        4.156              2.33576
        4.182              2.39004
        4.209              2.36459
        4.236              2.29674
        4.262              2.43110
        4.289              2.33967
        4.315              2.41642
        4.340              2.63689
        4.365              2.38678
        4.392              2.28979
        4.418              2.44036
        4.444              2.50087
        4.469              2.46380
        4.494              2.51892
        4.519              2.52580
        4.544              2.57360
        4.568              2.55747
        4.593              2.51317
        4.618              2.55726
        4.642              2.60335
        4.666              2.60832
        4.691              2.55601
        4.715              2.57835
        4.739              2.66779
        4.763              2.65214
        4.786              2.66711
        4.810              2.63181
        4.834              2.71435
        4.856              2.80337
        4.880              2.59026
        4.903              2.76890
        4.926              2.82124
        4.948              2.74124
        4.971              2.88325
        4.993              2.79987
        5.016              2.74447
        5.038              2.81555
        5.061              2.78091
        5.083              2.91266
        5.105              2.81909
        5.127              2.82162
        5.149              2.81467
        5.171              2.89855
        5.193              2.88736
        5.214              2.94750
        5.236              2.87692
        5.258              2.93086
        5.279              2.94999
        5.300              2.97513
        5.322              2.89681
        5.343              3.03844
        5.364              2.84410
        5.385              3.08196
        5.406              2.95152
        5.427              2.99285
        5.448              3.02906
        5.468              3.20211
        5.489              2.94350
        5.510              3.03082
        5.531              3.04418
        5.551              3.03917
        5.572              3.02717
        5.593              3.08090
        5.613              3.10020
        5.633              3.17782
        5.653              3.14489
        5.673              3.12876
        5.693              3.05365
        5.714              3.11450
        5.734              3.13298
        5.754              3.14458
        5.774              3.17060
        5.793              3.18410
        5.813              3.21670
        5.832              3.23575
        5.852              3.21407
        5.872              3.15215
        5.892              3.18814
        5.911              3.27881
        5.930              3.24093
        5.950              3.23226
        5.969              3.28670
        5.988              3.31304
        6.007              3.26807
        6.026              3.27198
        6.045              3.30537
        6.064              3.30450
        6.084              3.23692
        6.103              3.40478
        6.121              3.36089
        6.140              3.18523
        6.159              3.58547
        6.177              3.40312
        6.196              3.32708
        6.214              3.38060
        6.233              3.49085
        6.251              3.41366
        6.270              3.25486
        6.288              3.57263
        6.306              3.41477
        6.324              3.47214
        6.342              3.54202
        6.360              3.49163
        6.378              3.37969
        6.397              3.56311
        6.415              3.41886
        6.433              3.51920
        6.450              3.82934
        6.467              3.45401
        6.486              3.30329
        6.504              3.51232
        6.522              3.58445
        6.540              3.52256
        6.557              3.59286
        6.575              3.58752
        6.592              3.64792
        6.609              3.62373
        6.627              3.54202
        6.645              3.59244
        6.662              3.65471
        6.679              3.64095
        6.697              3.56796
        6.714              3.58527
        6.731              3.69860
        6.748              3.67094
        6.766              3.68429
        6.783              3.62206
        6.800              3.73066
        6.816              3.84551
        6.833              3.53962
        6.851              3.78186
        6.867              3.83542
        6.884              3.73155
        6.900              3.91769
        6.916              3.79534
        6.933              3.70996
        6.950              3.80177
        6.967              3.75160
        6.983              3.91817
        6.999              3.79076
        7.016              3.78163
        7.033              3.77210
        7.049              3.87588
        7.065              3.86040
        7.081              3.93117
        7.098              3.83331
        7.114              3.89945
        7.130              3.92503
        7.146              3.94796
        7.162              3.84011
        7.178              4.02562
        7.194              3.75901
        7.210              4.07100
        7.226              3.89004
        7.242              3.94970
        7.258              3.98275
        7.273              4.21125
        7.289              3.86967
        7.305              3.97745
        7.321              3.99008
        7.336              3.97796
        7.352              3.95941
        7.368              4.02536
        7.383              4.04714
        7.399              4.13858
        7.414              4.08795
        7.429              4.06837
        7.445              3.95667
