        t / s      omega / (rad/s)
        6.444              2.54102
        6.468              2.58621
        6.493              2.58185
        6.517              2.53109
        6.542              2.54979
        6.566              2.63324
        6.590              2.61854
        6.614              2.62324
        6.638              2.59379
        6.662              2.66237
        6.685              2.75542
        6.709              2.53497
        6.733              2.71365
        6.756              2.75760
        6.779              2.67848
        6.802              2.81152
        6.825              2.73218
        6.848              2.66983
        6.871              2.73944
        6.894              2.70163
        6.917              2.82899
        6.940              2.73455
        6.963              2.73586
        6.986              2.72660
        7.008              2.80574
        7.031              2.79364
        7.053              2.84590
        7.075              2.78091
        7.098              2.82378
        7.120              2.84861
        7.142              2.86289
        7.164              2.78881
        7.186              2.92078
        7.208              2.73063
        7.231              2.96125
        7.252              2.82555
        7.274              2.87166
        7.296              2.89868
        7.317              3.06796
        7.339              2.81580
        7.361              2.89721
        7.382              2.91320
        7.404              2.89962
        7.426              2.89215
        7.447              2.93868
        7.468              2.95735
        7.489              3.02790
        7.510              2.98986
        7.531              2.97513
        7.553              2.89735
        7.574              2.95610
        7.595              2.97232
        7.617              2.98021
        7.638              3.00688
        7.658              3.01121
        7.679              3.04315
        7.700              3.06183
        7.720              3.03360
        7.741              2.97626
        7.762              3.00688
        7.783              3.08877
        7.803              3.05380
        7.824              3.03947
        7.845              3.09060
        7.865              3.11465
        7.885              3.06661
        7.906              3.07216
        7.926              3.09883
        7.946              3.09791
        7.967              3.03213
        7.987              3.18265
        8.007              3.14521
        8.027              2.97344
        8.047              3.34425
        8.067              3.18088
        8.087              3.09975
        8.107              3.15152
        8.126              3.25116
        8.146              3.17782
        8.166              3.02833
        8.186              3.31812
        8.205              3.17541
        8.225              3.22231
        8.244              3.28636
        8.264              3.23976
        8.283              3.13126
        8.303              3.30259
        8.322              3.16757
        8.342              3.25672
        8.360              3.54402
        8.379              3.19657
        8.399              3.05513
        8.419              3.24344
        8.438              3.31199
        8.457              3.25469
        8.477              3.31147
        8.496              3.31025
        8.514              3.36233
        8.533              3.34105
        8.552              3.26382
        8.571              3.30938
        8.590              3.36431
        8.609              3.35157
        8.628              3.28412
        8.647              3.29618
        8.666              3.39907
        8.684              3.37660
        8.703              3.38096
        8.721              3.32849
        8.740              3.42445
        8.758              3.52691
        8.777              3.24830
        8.795              3.46907
        8.813              3.51999
        8.832              3.41998
        8.850              3.58037
        8.867              3.47425
        8.886              3.39577
        8.904              3.47868
        8.922              3.42632
        8.940              3.58609
        8.958              3.46028
        8.976              3.45781
        8.994              3.44492
        9.012              3.53982
        9.030              3.52098
        9.048              3.58650
        9.065              3.49610
        9.083              3.55243
        9.101              3.57405
        9.118              3.59491
        9.136              3.49512
        9.154              3.65961
        9.172              3.41942
        9.189              3.70143
        9.207              3.53186
        9.224              3.58507
        9.242              3.61705
        9.259              3.81864
        9.276              3.50800
        9.293              3.60233
        9.311              3.61518
        9.328              3.59903
        9.346              3.58957
        9.363              3.63968
        9.380              3.65833
        9.397              3.74713
        9.414              3.69382
        9.431              3.67094
        9.449              3.57874
        9.466              3.64369
        9.483              3.65748
        9.500              3.66709
        9.518              3.69512
        9.535              3.69382
        9.551              3.73888
        9.568              3.75026
        9.585              3.71347
        9.602              3.64602
        9.619              3.67159
        9.636              3.77459
        9.653              3.72690
