        t / s      omega / (rad/s)
        0.167              0.18770
        0.443              0.28986
        0.638              0.36496
        0.799              0.41881
        0.941              0.47022
        1.068              0.52053
        1.184              0.56347
        1.293              0.58930
        1.394              0.65701
        1.488              0.68399
        1.580              0.67950
        1.665              0.79848
        1.745              0.78857
        1.824              0.79907
        1.900              0.84031
        1.973              0.89564
        2.043              0.90206
        2.113              0.88341
        2.180              0.99570
        2.244              0.97548
        2.307              1.01352
        2.368              1.05742
        2.427              1.06390
        2.487              1.05021
        2.545              1.12614
        2.601              1.09894
        2.657              1.15089
        2.709              1.27254
        2.761              1.16563
        2.815              1.13184
        2.869              1.21996
        2.919              1.26369
        2.969              1.25860
        3.018              1.29759
        3.066              1.31387
        3.114              1.35003
        3.160              1.35259
        3.207              1.33833
        3.253              1.37092
        3.298              1.40733
        3.343              1.41906
        3.387              1.40153
        3.432              1.42247
        3.475              1.48241
        3.518              1.48377
        3.560              1.50032
        3.602              1.48848
        3.643              1.53781
        3.683              1.60482
        3.724              1.48591
        3.765              1.60085
        3.804              1.63996
        3.842              1.60049
        3.881              1.68930
        3.918              1.65091
        3.957              1.62310
        3.995              1.67320
        4.032              1.65700
        4.069              1.74170
        4.106              1.69239
        4.143              1.69820
        4.180              1.70078
        4.216              1.75606
        4.252              1.75528
        4.288              1.79622
        4.323              1.76059
        4.358              1.79602
        4.393              1.81779
        4.427              1.83595
        4.462              1.79432
        4.496              1.88792
        4.531              1.77166
        4.565              1.92949
        4.598              1.84881
        4.632              1.88430
        4.665              1.91170
        4.697              2.02755
        4.729              1.86972
        4.762              1.93056
        4.794              1.94598
        4.827              1.94628
        4.859              1.94472
        4.891              1.98452
        4.922              2.00465
        4.953              2.05561
        4.984              2.03867
        5.015              2.03458
        5.046              1.98759
        5.077              2.03504
        5.108              2.04985
        5.139              2.06134
        5.169              2.08820
        5.199              2.09321
        5.229              2.12334
        5.258              2.14355
        5.288              2.12751
        5.318              2.09761
        5.347              2.11998
        5.377              2.18622
        5.405              2.16632
        5.434              2.16058
        5.463              2.20486
        5.492              2.22256
        5.520              2.19769
        5.549              2.20463
        5.577              2.22927
        5.605              2.23577
        5.633              2.19048
        5.661              2.30618
        5.689              2.28363
        5.717              2.16535
        5.744              2.44093
        5.771              2.32418
        5.798              2.27314
        5.826              2.31374
        5.852              2.39241
        5.879              2.34500
        5.906              2.23633
        5.933              2.45792
        5.959              2.35608
        5.986              2.39487
        6.012              2.44844
        6.037              2.41642
        6.064              2.34159
        6.090              2.47399
        6.116              2.37621
        6.142              2.44930
        6.167              2.66870
        6.191              2.41225
        6.218              2.30999
        6.244              2.45773
        6.270              2.51438
        6.295              2.47370
        6.320              2.52377
        6.345              2.52733
        6.370              2.57160
        6.394              2.55331
        6.419              2.50566
