        t / s      omega / (rad/s)
        0.098              0.31956
        0.264              0.46816
        0.382              0.61492
        0.479              0.68588
        0.564              0.79240
        0.637              0.94196
        0.705              0.91658
        0.773              0.93961
        0.836              1.06056
        0.893              1.14142
        0.947              1.17489
        0.999              1.24765
        1.048              1.29542
        1.096              1.36283
        1.141              1.39598
        1.186              1.40834
        1.230              1.46886
        1.272              1.53163
        1.312              1.56719
        1.352              1.56974
        1.392              1.61368
        1.430              1.70087
        1.466              1.71855
        1.503              1.75518
        1.538              1.76059
        1.573              1.84366
        1.607              1.93145
        1.640              1.80546
        1.674              1.95848
        1.705              2.01513
        1.737              1.98653
        1.767              2.10803
        1.797              2.07441
        1.828              2.04951
        1.858              2.12687
        1.888              2.11869
        1.917              2.24071
        1.945              2.18682
        1.973              2.21122
        2.002              2.22217
        2.030              2.30915
        2.057              2.31912
        2.083              2.38560
        2.110              2.34710
        2.136              2.40735
        2.162              2.44311
        2.188              2.47965
        2.213              2.42988
        2.239              2.56677
        2.264              2.41615
        2.289              2.63733
        2.313              2.53569
        2.338              2.59175
        2.362              2.63523
        2.385              2.80337
        2.408              2.59079
        2.432              2.68111
        2.455              2.70710
        2.478              2.71377
        2.502              2.71776
        2.524              2.77820
        2.547              2.81014
        2.569              2.88935
        2.591              2.86943
        2.613              2.87048
        2.635              2.80763
        2.657              2.87982
        2.679              2.90525
        2.700              2.92486
        2.722              2.96853
        2.743              2.98120
        2.764              3.02877
        2.784              3.05796
        2.805              3.04153
        2.826              3.00028
        2.846              3.03991
        2.867              3.13736
        2.887              3.11080
        2.907              3.10864
        2.927              3.18088
        2.947              3.20669
        2.966              3.17959
        2.986              3.19089
        3.006              3.22910
        3.025              3.24813
        3.045              3.18039
        3.064              3.35730
        3.083              3.32655
        3.102              3.15437
        3.121              3.56553
        3.139              3.39411
        3.158              3.32110
        3.176              3.38643
        3.195              3.50507
        3.213              3.43719
        3.231              3.28258
        3.250              3.61040
        3.267              3.46181
        3.285              3.52631
        3.303              3.60398
        3.321              3.56210
        3.339              3.45249
        3.356              3.64687
        3.374              3.51350
        3.391              3.61935
        3.408              3.94425
        3.425              3.57202
        3.443              3.41756
        3.461              3.63821
        3.478              3.73022
        3.495              3.66816
        3.512              3.74222
        3.528              3.75384
        3.545              3.81771
        3.562              3.79695
        3.578              3.72712
        3.595              3.78391
        3.611              3.84646
        3.628              3.85141
        3.644              3.77323
        3.661              3.79717
        3.677              3.93215
        3.693              3.90115
        3.709              3.91573
        3.725              3.86325
        3.741              3.97796
        3.757              4.10612
        3.773              3.79901
        3.789              4.05891
        3.804              4.11850
        3.820              4.01867
        3.835              4.22115
        3.850              4.08955
        3.866              4.00254
        3.881              4.11661
        3.896              4.05602
        3.912              4.24196
        3.927              4.10719
        3.942              4.11526
        3.957              4.09541
        3.972              4.22059
        3.987              4.20505
        4.002              4.28711
        4.017              4.18684
        4.032              4.25921
        4.047              4.29355
        4.061              4.32369
        4.076              4.20984
        4.090              4.41514
        4.105              4.13014
        4.120              4.47775
        4.134              4.28214
        4.149              4.34943
        4.163              4.39845
        4.177              4.65111
        4.191              4.27311
        4.206              4.40061
        4.220              4.42384
        4.234              4.40863
        4.248              4.39138
        4.262              4.47361
        4.276              4.50408
        4.290              4.60712
        4.304              4.55435
        4.318              4.54086
        4.332              4.42384
        4.346              4.51054
        4.360              4.53267
        4.374              4.55303
        4.387              4.59700
        4.401              4.59902
        4.415              4.65111
        4.428              4.67986
        4.442              4.64526
        4.455              4.56262
        4.469              4.59970
        4.482              4.73381
        4.496              4.68475
        4.509              4.66423
        4.522              4.74095
        4.536              4.77881
        4.549              4.71675
        4.562              4.71959
        4.575              4.75963
        4.589              4.76721
        4.602              4.66423
        4.615              4.90223
        4.628              4.83918
        4.641              4.58092
        4.654              5.15692
        4.667              4.89726
        4.680              4.78027
        4.693              4.85450
        4.706              5.01411
        4.718              4.90223
        4.731              4.67047
        4.744              5.12704
        4.757              4.89688
        4.770              4.97481
        4.782              5.07486
