        t / s      omega / (rad/s)
        0.235              0.13375
        0.594              0.25242
        0.815              0.32544
        0.995              0.37939
        1.152              0.42126
        1.292              0.48045
        1.416              0.53903
        1.528              0.58378
        1.633              0.61188
        1.732              0.65297
        1.825              0.70412
        1.913              0.73110
        1.997              0.76224
        2.078              0.77715
        2.157              0.82361
        2.231              0.87821
        2.304              0.83531
        2.376              0.91950
        2.443              0.96101
        2.508              0.95563
        2.572              1.02628
        2.633              1.01825
        2.695              1.01683
        2.756              1.06426
        2.815              1.06881
        2.872              1.13836
        2.927              1.11972
        2.983              1.13723
        3.038              1.15195
        3.091              1.20232
        3.143              1.21391
        3.194              1.25415
        3.244              1.23973
        3.294              1.27642
        3.343              1.30076
        3.391              1.32403
        3.439              1.30219
        3.486              1.37816
        3.533              1.30049
        3.579              1.42289
        3.624              1.37208
        3.669              1.40557
        3.714              1.43324
        3.756              1.52768
        3.799              1.41462
        3.842              1.46704
        3.885              1.48458
        3.927              1.48990
        3.969              1.49493
        4.011              1.53065
        4.052              1.54945
        4.092              1.59613
        4.131              1.58674
        4.171              1.58911
        4.211              1.55821
        4.250              1.59902
        4.289              1.61646
        4.328              1.63094
        4.366              1.65595
        4.404              1.66513
        4.442              1.69500
        4.479              1.71297
        4.515              1.70743
        4.552              1.68500
        4.589              1.70897
        4.626              1.76757
        4.661              1.75518
        4.697              1.75498
        4.732              1.79484
        4.767              1.81537
        4.802              1.79679
        4.837              1.80738
        4.871              1.83076
        4.906              1.83939
        4.940              1.80484
        4.974              1.90382
        5.007              1.88985
        5.041              1.79381
        5.074              2.02703
        5.106              1.93299
        5.139              1.89389
        5.172              1.93091
        5.204              2.00184
        5.235              1.96485
        5.268              1.87810
        5.300              2.06820
        5.331              1.98427
        5.362              2.02207
        5.393              2.06915
        5.424              2.04724
        5.455              1.98640
        5.486              2.10309
        5.516              2.02337
        5.547              2.08876
        5.575              2.28015
        5.604              2.06378
        5.636              1.97759
        5.666              2.10958
        5.696              2.16080
        5.725              2.12845
        5.754              2.17449
        5.783              2.18227
        5.812              2.22107
        5.840              2.21091
        5.869              2.16878
        5.897              2.20447
        5.926              2.24881
        5.954              2.24841
        5.982              2.20695
        6.010              2.22382
        6.038              2.30103
        6.065              2.28929
