        t / s      omega / (rad/s)
        6.093              2.30002
        6.120              2.27182
        6.147              2.33984
        6.174              2.42136
        6.201              2.23228
        6.228              2.39195
        6.254              2.43317
        6.280              2.36655
        6.306              2.48741
        6.332              2.41866
        6.358              2.36753
        6.384              2.43214
        6.410              2.40174
        6.436              2.51468
        6.461              2.43667
        6.487              2.43629
        6.513              2.43317
        6.538              2.50486
        6.563              2.49689
        6.588              2.54689
        6.613              2.48859
        6.638              2.53293
        6.663              2.55269
        6.688              2.57181
        6.712              2.50316
        6.737              2.62686
        6.762              2.45523
        6.786              2.66372
        6.810              2.54504
        6.835              2.58546
        6.859              2.61342
        6.882              2.76463
        6.906              2.54071
        6.930              2.61527
        6.954              2.62884
        6.978              2.62040
        7.002              2.61136
        7.026              2.65595
        7.050              2.67210
        7.073              2.74195
        7.096              2.70652
        7.119              2.69838
        7.143              2.62741
        7.167              2.68512
        7.190              2.69688
        7.213              2.70512
        7.236              2.73325
        7.259              2.73348
        7.282              2.77000
        7.305              2.78226
        7.327              2.76111
        7.350              2.71107
        7.374              2.73908
        7.396              2.81656
        7.419              2.78387
        7.441              2.77440
        7.464              2.82365
        7.486              2.84346
        7.508              2.80424
        7.530              2.80863
        7.553              2.83524
        7.575              2.83973
        7.597              2.77281
        7.619              2.91658
        7.641              2.88537
        7.663              2.72826
        7.685              3.07472
        7.706              2.91644
        7.728              2.85262
        7.750              2.89588
        7.771              2.99228
        7.792              2.92718
        7.814              2.78510
        7.836              3.06079
        7.857              2.92445
        7.878              2.97077
        7.899              3.03257
        7.920              2.98801
        7.941              2.89215
        7.963              3.05291
        7.984              2.92541
        8.005              3.01164
        8.025              3.27830
        8.045              2.95805
        8.067              2.82810
        8.088              3.00329
        8.109              3.06976
        8.130              3.01569
        8.150              3.07562
        8.171              3.07216
        8.191              3.12519
        8.211              3.10112
        8.232              3.03345
        8.252              3.07999
        8.272              3.12472
        8.293              3.12130
        8.313              3.05617
        8.333              3.06587
        8.354              3.17285
        8.374              3.13971
        8.393              3.15184
        8.414              3.10772
        8.434              3.18717
        8.453              3.29653
        8.473              3.03111
        8.493              3.23692
        8.512              3.29204
        8.532              3.18685
        8.551              3.35246
        8.570              3.24981
        8.589              3.17188
        8.609              3.25554
        8.628              3.20849
        8.648              3.35121
        8.667              3.24260
        8.686              3.23759
        8.705              3.22595
        8.725              3.31637
        8.744              3.29861
        8.763              3.35963
        8.781              3.27778
        8.800              3.33007
        8.819              3.35264
        8.838              3.37352
        8.857              3.27898
        8.876              3.43437
        8.895              3.21062
        8.913              3.47329
        8.932              3.31899
        8.951              3.36683
        8.969              3.39595
        8.987              3.59265
        9.005              3.29566
        9.024              3.38698
        9.043              3.39999
        9.061              3.38972
        9.080              3.37316
        9.098              3.42688
        9.117              3.45002
        9.135              3.52434
        9.153              3.48022
        9.171              3.46486
        9.189              3.36936
        9.208              3.43644
        9.226              3.45230
        9.244              3.45553
        9.262              3.48795
        9.280              3.48988
        9.298              3.52513
        9.316              3.54342
        9.334              3.51075
        9.352              3.44152
        9.370              3.47156
        9.388              3.57182
        9.405              3.52354
        9.423              3.50546
        9.441              3.56574
        9.459              3.58814
        9.476              3.53783
        9.494              3.53644
        9.512              3.56736
        9.529              3.56857
        9.547              3.48562
        9.565              3.66004
        9.582              3.61435
        9.600              3.41589
        9.617              3.84528
        9.634              3.64602
        9.652              3.55645
        9.669              3.61227
        9.686              3.72580
        9.703              3.63989
        9.721              3.46525
        9.738              3.79832
        9.755              3.62917
        9.772              3.68407
        9.789              3.75564
        9.806              3.69577
        9.823              3.57283
        9.841              3.76554
        9.858              3.61186
        9.875              3.71127
        9.891              4.03337
        9.907              3.63947
        9.925              3.47406
        9.943              3.68515
        9.960              3.76645
        9.976              3.69469
