        t / s      omega / (rad/s)
        0.295              0.10651
        0.815              0.13971
        1.227              0.16781
        1.576              0.19435
        1.883              0.21503
        2.165              0.23147
        2.426              0.25174
        2.666              0.27129
        2.892              0.28709
        3.108              0.29512
        3.311              0.32454
        3.502              0.33413
        3.691              0.32843
        3.869              0.38281
        4.035              0.37519
        4.202              0.37765
        4.365              0.39473
        4.519              0.41990
        4.668              0.42185
        4.819              0.41236
        4.963              0.46431
        5.100              0.45427
        5.235              0.47130
        5.366              0.48975
        5.494              0.49035
        5.624              0.48099
        5.750              0.51440
        5.874              0.49939
        5.997              0.52050
        6.113              0.57323
        6.227              0.52375
        6.349              0.50743
        6.469              0.54634
        6.582              0.56624
        6.693              0.56446
        6.802              0.58320
        6.909              0.59173
        7.014              0.60967
        7.117              0.61255
        7.220              0.60813
        7.322              0.62497
        7.421              0.64400
        7.518              0.65118
        7.615              0.64478
        7.711              0.65645
        7.805              0.68526
        7.896              0.68753
        7.987              0.69664
        8.078              0.69369
        8.167              0.71942
        8.252              0.74890
        8.339              0.69574
        8.426              0.75008
        8.509              0.76785
        8.592              0.75088
        8.673              0.79387
        8.753              0.77541
        8.835              0.76255
        8.916              0.78735
        8.996              0.77997
        9.075              0.81934
        9.153              0.79587
        9.232              0.79781
        9.310              0.79725
        9.388              0.82116
        9.465              0.81659
        9.541              0.83221
        9.618              0.81171
        9.694              0.82377
        9.770              0.83067
        9.846              0.83622
        9.922              0.81340
        9.997              0.85162
       10.074              0.79536
       10.150              0.86184
       10.224              0.82202
       10.300              0.83253
       10.376              0.83930
       10.448              0.88519
       10.523              0.81113
       10.599              0.83298
       10.674              0.83452
       10.750              0.82922
       10.826              0.82418
       10.902              0.83653
       10.977              0.84050
       11.051              0.85966
       11.124              0.84847
       11.198              0.84235
       11.274              0.81977
       11.350              0.83412
       11.425              0.83639
       11.500              0.83678
       11.575              0.84319
       11.650              0.84142
       11.724              0.85065
       11.798              0.85401
       11.872              0.84608
       11.947              0.82990
       12.022              0.83784
       12.096              0.86203
       12.169              0.85199
       12.243              0.84814
       12.317              0.86253
       12.389              0.86842
       12.462              0.85684
       12.535              0.85814
       12.608              0.86620
       12.681              0.86718
       12.754              0.84911
       12.826              0.89428
       12.897              0.88553
       12.970              0.83985
       13.040              0.94673
       13.108              0.90114
