        t / s      omega / (rad/s)
        0.328              0.09567
        0.840              0.17174
        1.172              0.21031
        1.451              0.24312
        1.697              0.26782
        1.921              0.29598
        2.126              0.31550
        2.321              0.33027
        2.504              0.35857
        2.672              0.38764
        2.830              0.40866
        2.982              0.42046
        3.128              0.44041
        3.266              0.46895
        3.399              0.48056
        3.527              0.49783
        3.653              0.50195
        3.775              0.52770
        3.891              0.55855
        4.006              0.52783
        4.120              0.57732
        4.227              0.59862
        4.333              0.59188
        4.436              0.63235
        4.536              0.62412
        4.637              0.62050
        4.736              0.64676
        4.833              0.64763
        4.927              0.68705
        5.020              0.67338
        5.112              0.68181
        5.204              0.68769
        5.294              0.71518
        5.381              0.71850
        5.468              0.73748
        5.554              0.72431
        5.639              0.74088
        5.724              0.75063
        5.807              0.75926
        5.890              0.74431
        5.973              0.78544
        6.055              0.73922
        6.137              0.80688
        6.216              0.77512
        6.296              0.79155
        6.375              0.80477
        6.451              0.85474
        6.527              0.78963
        6.605              0.81765
        6.682              0.82680
        6.758              0.82789
        6.834              0.82879
        6.909              0.84720
        6.982              0.85576
        7.055              0.87944
        7.127              0.87299
        7.199              0.87471
        7.271              0.85768
        7.343              0.88086
        7.414              0.89066
        7.485              0.89791
        7.554              0.91337
        7.623              0.91861
        7.690              0.93572
        7.757              0.94522
        7.824              0.94072
        7.891              0.92787
        7.958              0.94060
        8.024              0.97087
        8.089              0.96254
        8.154              0.96173
        8.219              0.98209
        8.283              0.99193
        8.346              0.98089
        8.410              0.98527
        8.474              0.99709
        8.537              1.00137
        8.600              0.98155
        8.662              1.03315
        8.723              1.02387
        8.786              0.97152
        8.847              1.09671
        8.906              1.04579
        8.967              1.02492
        9.028              1.04546
        9.087              1.08383
        9.145              1.06439
        9.205              1.01867
        9.264              1.12332
        9.321              1.07905
        9.379              1.10040
        9.435              1.12725
        9.491              1.11525
        9.549              1.08269
        9.605              1.14772
        9.661              1.10505
        9.717              1.14265
        9.769              1.24879
        9.822              1.13180
        9.879              1.08653
        9.935              1.15892
        9.989              1.18835
       10.042              1.17149
       10.095              1.19755
       10.147              1.20252
       10.199              1.22496
       10.250              1.21954
       10.302              1.19890
       10.354              1.21937
       10.405              1.24346
       10.456              1.24518
       10.507              1.22239
       10.558              1.23253
       10.608              1.27660
       10.657              1.26972
       10.707              1.27723
       10.756              1.26090
       10.805              1.29917
       10.853              1.34403
       10.902              1.24009
       10.951              1.32843
       10.997              1.35230
       11.045              1.31494
       11.091              1.38241
       11.137              1.34498
       11.185              1.31657
       11.232              1.35262
       11.278              1.33506
       11.324              1.39841
       11.370              1.35393
       11.416              1.35367
       11.463              1.35154
       11.509              1.39230
       11.554              1.38741
       11.599              1.41497
       11.644              1.38277
       11.689              1.40815
       11.733              1.41970
       11.777              1.43057
       11.822              1.39434
       11.866              1.46287
       11.910              1.36880
       11.954              1.48468
       11.998              1.41724
       12.042              1.43777
       12.085              1.45209
       12.127              1.53541
       12.170              1.40983
       12.214              1.44877
       12.257              1.45569
       12.300              1.44791
       12.344              1.44222
       12.387              1.46656
       12.430              1.47548
       12.472              1.51031
       12.514              1.49131
       12.556              1.48328
       12.599              1.44491
       12.642              1.47347
       12.685              1.48052
       12.727              1.48367
       12.769              1.49753
       12.811              1.49714
       12.853              1.51523
       12.894              1.52227
       12.936              1.50937
       12.978              1.48153
       13.020              1.49479
       13.061              1.53807
       13.102              1.51900
       13.144              1.51224
       13.185              1.53917
       13.226              1.55037
       13.267              1.52905
       13.308              1.53107
       13.348              1.54401
       13.389              1.54610
       13.430              1.51315
       13.471              1.59016
       13.510              1.57335
       13.552              1.48965
       13.591              1.67659
       13.630              1.59354
       13.670              1.55733
       13.710              1.58299
       13.749              1.63476
       13.788              1.59898
       13.828              1.52353
       13.867              1.67302
       13.906              1.60114
       13.945              1.62655
       13.983              1.66059
       14.021              1.63744
       14.060              1.58486
       14.099              1.67342
       14.137              1.60474
       14.176              1.65247
       14.212              1.79941
       14.249              1.62470
       14.288              1.55332
       14.328              1.64930
       14.365              1.68903
       14.403              1.65893
       14.440              1.69239
       14.477              1.69486
       14.514              1.72151
       14.551              1.70864
       14.588              1.67565
       14.625              1.69977
       14.662              1.72691
       14.698              1.72534
       14.735              1.68930
       14.772              1.69853
       14.809              1.75390
       14.845              1.74001
       14.881              1.74708
       14.917              1.72189
       14.953              1.76722
       14.988              1.82296
       15.024              1.67982
       15.060              1.79366
       15.095              1.82190
       15.130              1.76573
       15.165              1.85296
       15.199              1.79905
       15.234              1.75690
       15.270              1.80132
       15.305              1.77306
       15.339              1.85323
       15.374              1.79034
       15.409              1.78728
       15.444              1.77828
       15.479              1.82746
       15.514              1.81826
       15.548              1.84767
       15.582              1.80142
       15.617              1.82922
       15.651              1.83869
       15.685              1.84604
       15.720              1.79530
       15.754              1.87760
       15.789              1.75117
       15.823              1.89572
       15.857              1.80780
       15.892              1.83242
       15.926              1.84789
       15.959              1.95075
       15.993              1.79182
       16.027              1.83956
       16.061              1.84762
       16.095              1.83843
       16.130              1.82927
       16.164              1.85734
       16.197              1.86822
       16.231              1.90868
       16.264              1.88367
       16.297              1.87407
       16.331              1.82391
       16.365              1.85816
       16.399              1.86650
       16.433              1.86922
       16.466              1.88486
       16.500              1.88509
       16.533              1.90590
       16.566              1.91286
       16.599              1.89601
       16.632              1.85976
       16.666              1.87435
       16.699              1.92753
       16.732              1.90152
       16.765              1.89350
       16.798              1.92494
       16.830              1.93752
       16.863              1.90938
       16.896              1.90990
       16.929              1.92736
       16.961              1.92753
       16.994              1.88413
       17.027              1.97802
       17.059              1.95421
       17.092              1.84740
       17.124              2.07750
       17.155              1.97219
       17.187              1.92423
       17.220              1.95324
       17.251              2.01675
       17.283              1.97002
       17.315              1.87485
       17.348              2.05655
       17.379              1.96515
       17.410              1.99568
       17.442              2.03326
       17.473              2.00357
       17.505              1.93716
       17.536              2.04391
       17.568              1.95689
       17.599              2.01326
       17.629              2.18995
       17.660              1.97466
       17.692              1.88645
